flat_id;period;cold_water;hot_water;power_supply;sewage
1155723;01.10.2024;11,2;0,37735;131;11,2
1155724;01.08.2024;13;0,3253;331;13
1155724;01.09.2024;11,4941;0,30361;300,66;11,4941
1155724;01.10.2024;11,688;0,33063;309,492;11,688
1155725;01.08.2024;9;0,26024;36;9
1155725;01.09.2024;9;0,26024;54;9
1155725;01.10.2024;21,3333;1,10602;26;21,3333
1155727;01.08.2024;3,6001;0,082;68,83;3,6001
1155727;01.09.2024;2,609;0,04242;30,327;2,609
1155727;01.10.2024;6;0,13012;100;6
1155728;01.08.2024;16,55;0,13012;78;16,55
1155728;01.09.2024;16,55;0,13012;91;16,55
1155728;01.10.2024;17,3833;0,18433;89,5;17,3833
1155729;01.08.2024;4;0,13012;90;4
1155729;01.09.2024;5;0,13012;129;5
1155729;01.10.2024;7;0,13012;133;7
1155731;01.08.2024;14;0,39036;118;14
1155731;01.09.2024;17;0,52048;102;17
1155731;01.10.2024;13,115;0,39036;103;13,115
1155734;01.08.2024;4,6;0,09759;210;4,6
1155734;01.09.2024;3,6;0,07807;199;3,6
1155734;01.10.2024;8,77;0,17501;201;8,77
1155736;01.08.2024;8,3;0,22283;135,665;8,3
1155736;01.09.2024;9,023;0,20058;151,77;9,023
1155736;01.10.2024;6,91;0,14053;186,1;6,91
1155737;01.08.2024;17,72;0,52178;200;17,72
1155737;01.09.2024;17,72;0,52178;200;17,72
1155737;01.10.2024;17,72;0,52178;200;17,72
1155738;01.08.2024;8,86;0,26089;132;8,86
1155738;01.09.2024;1,568;0,03826;206,274;1,568
1155738;01.10.2024;1,9;0,04554;321,5;1,9
1155739;01.08.2024;35,1;0,39036;90;35,1
1155739;01.09.2024;34,1;0,3253;158;34,1
1155739;01.10.2024;8,203;0,26024;130;8,203
1155740;01.08.2024;6,4;0,19518;131;6,4
1155740;01.09.2024;8,8;0,23422;163;8,8
1155740;01.10.2024;5,3;0,18217;132;5,3
1155741;01.08.2024;17,4;0,37084;58;17,4
1155741;01.09.2024;15,0666;0,36108;60,84;15,0666
1155741;01.10.2024;18,549;0,44306;87,918;18,549
1155742;01.08.2024;0,6;0,01952;144;0,6
1155742;01.09.2024;0,6;0,01952;160;0,6
1155742;01.10.2024;0,5332;0,01735;164,5;0,5332
1155743;01.08.2024;4,5;0,13012;127;4,5
1155743;01.09.2024;3,7;0,1171;113;3,7
1155743;01.10.2024;6,1;0,14313;143;6,1
1155744;01.08.2024;0,7;0,00651;34;0,7
1155744;01.09.2024;1,9;0,02602;29;1,9
1155744;01.10.2024;8,5;0,22771;63;8,5
1155745;01.08.2024;2,7632;0,04662;137,5;2,7632
1155745;01.09.2024;4,109;0,26089;29,754;4,109
1155745;01.10.2024;1,384;0,01197;171;1,384
1155746;01.08.2024;6;0,22771;106,5;6
1155746;01.09.2024;13;0,39036;97;13
1155746;01.10.2024;13;0,45542;138;13
1155747;01.08.2024;9,9;0,27976;100;9,9
1155747;01.09.2024;8,5;0,2212;75;8,5
1155747;01.10.2024;10,8;0,33831;90;10,8
1155748;01.08.2024;0;0;0;0
1155748;01.09.2024;0,3;0;5;0,3
1155748;01.10.2024;0;0;0;0
1155749;01.08.2024;35,44;1,04356;330;35,44
1155749;01.09.2024;35,44;1,04356;506;35,44
1155749;01.10.2024;35,44;1,04356;434;35,44
1155750;01.08.2024;9,2;0,29928;134;9,2
1155750;01.09.2024;7,3;0,23422;120;7,3
1155750;01.10.2024;9,2;0,37735;98;9,2
1155751;01.08.2024;5,442;0,1471;128,863;5,442
1155751;01.09.2024;5,3726;0,14258;126,22;5,3726
1155751;01.10.2024;5,3726;0,14258;126,22;5,3726
1155752;01.08.2024;4,7;0,07156;76;4,7
1155752;01.09.2024;4,4;0,07807;81;4,4
1155752;01.10.2024;4,6;0,07157;94;4,6
1155754;01.08.2024;13,2;0,27325;212;13,2
1155754;01.09.2024;16,3;0,36433;246;16,3
1155754;01.10.2024;16,4;0,39687;256;16,4
